"block"	"trial"	"order"	"st"	"stim_space"	"stim_time"	"repro_size"	"repro_speed"	"repro_time"	"t_cue_present"	"t_stim_start"	"t_stim_end"	"t_repro_start"	"t_repro_end"	"t_trial_start"	"t_trial_end"	"id"
0	15	23	1	1	1	5.5	0	7.51608324050903	364.3725706	354.8398543	362.8403995	364.9734276	372.4903076	354.3156965	375.0058102	"02"
0	16	34	0	1	0	5.77866666666664	9	7.47831845283508	381.0730446	375.5395632	379.5400057	381.8125411	389.2907598	375.0151442	391.8062184	"02"
0	17	37	1	0	1	5.5	0	8.80173373222351	401.8736632	392.3400336	400.3410624	404.1725827	412.9747807	391.8152623	415.4907898	"02"
0	18	33	0	0	1	3.92799999999997	5	5.09239363670349	425.5576773	416.0242027	424.0241221	426.1327867	431.2253672	415.500472	433.7423761	"02"
0	19	27	0	1	1	6.387294117647	8.5	7.96634840965271	443.8082029	434.2745742	442.2746465	444.4927023	452.4592647	433.7518623	454.976021	"02"
0	20	15	1	1	1	5.5	0	8.20015549659729	492.5599406	483.0260162	491.0263534	493.2929655	501.4939265	482.5024169	504.0093813	"02"
0	21	22	1	1	0	5.5	0	4.73769617080688	510.0767249	504.5432134	508.5438384	510.5729769	515.3109665	504.0196101	517.8267479	"02"
0	22	36	1	0	0	5.5	0	5.47093939781189	523.8938097	518.3608304	522.3613817	524.3565492	529.8278131	517.8360163	532.3431821	"02"
0	23	8	0	0	0	3.61942857142863	3.5	3.19565725326538	538.4108421	532.8774195	536.8779038	538.9165023	542.1121111	532.3522958	544.6283118	"02"
0	24	11	0	1	1	6.69600000000005	7.5	7.42173910140991	554.6946947	545.1614381	553.1618515	555.1406145	562.5623896	544.6373361	565.0795487	"02"
0	25	4	1	0	0	5.5	0	4.38982605934143	571.1450998	565.611657	569.6125486	571.9567657	576.3467739	565.0885678	578.8624541	"02"
0	26	32	0	0	0	3.49599999999998	5	4.34111905097961	584.9292596	579.3953997	583.3955498	585.772577	590.1141971	578.8728837	592.6288358	"02"
0	27	21	1	0	1	5.5	0	7.0687427520752	602.6963061	593.1624092	601.1629078	603.2445883	610.3140866	592.638062	612.8297995	"02"
0	28	2	0	1	0	6.97942857142872	7	7.28270244598389	618.8971211	613.3630047	617.363921	619.3490567	626.6313399	612.8393894	629.1469693	"02"
0	29	24	0	0	0	3.85866666666668	4.5	4.47283244132996	635.213595	629.6801135	633.6809286	638.1086547	642.5815869	629.1575993	645.0981899	"02"
0	30	6	1	1	0	5.5	0	7.84836530685425	651.1643706	645.6305373	649.6305333	652.3004083	660.1492514	645.1074779	662.6647811	"02"
0	31	3	0	1	1	6.38971428571441	7	6.56826305389404	672.7313871	663.1984573	671.1994662	673.1644452	679.7332812	662.6749721	682.2477714	"02"
0	32	25	0	0	1	3.77333333333335	4.5	4.34371185302734	692.3158932	682.7816124	690.7816211	692.9565397	697.299773	682.2576209	699.8164032	"02"
0	33	35	0	1	1	6.56799999999996	9	8.7202832698822	709.8823978	700.348754	708.3490836	710.3967196	719.1176385	699.8256878	721.6326784	"02"
0	34	30	1	1	0	5.5	0	2.31038737297058	727.699546	722.1660636	726.1661644	728.1564428	730.4674006	721.6438065	732.9830008	"02"
0	35	17	0	0	1	4.09600000000006	4	4.31767654418945	743.0499885	733.5169421	741.5176652	743.5164245	747.8343964	732.9920399	750.349951	"02"
0	36	16	0	0	0	3.35200000000004	4	3.27981424331665	756.4177378	750.8835861	754.8841822	756.7884199	760.0687603	750.3593845	762.5831186	"02"
0	37	13	1	0	1	5.5	0	6.06894612312317	772.6508688	763.117309	771.1186173	773.1164806	779.1855857	762.5921247	781.7004373	"02"
0	38	28	1	0	0	5.5	0	4.1788215637207	787.7679299	782.2350789	786.2364057	788.1249516	792.30337	781.7098508	794.8189455	"02"
0	39	19	0	1	1	6.18400000000012	8	7.2190158367157	804.8851264	795.3515048	803.3512641	805.468628	812.6883687	794.8290253	815.2015302	"02"
1	40	1	0	0	1	4.744	3	3.91703009605408	828.1024684	818.5687927	826.5686526	828.6205655	832.5374638	818.0458117	835.0526053	"02"
1	41	28	1	0	0	5.5	0	3.14380359649658	841.119515	835.586016	839.5858853	841.6764371	844.8211494	835.0636892	847.3361582	"02"
1	42	37	1	0	1	5.5	0	5.48914551734924	857.4032383	847.8696615	855.8703074	857.9485708	863.4375896	847.345731	865.9546977	"02"
1	43	7	1	1	1	5.5	0	7.03082299232483	876.0204265	866.4868513	874.4872652	876.5566555	883.5880928	865.9640399	886.1039847	"02"
1	44	35	0	1	1	5.86399999999997	9	7.60577583312988	896.1710193	886.6373837	894.6384115	896.7325641	904.3387236	886.1133316	906.8559043	"02"
1	45	24	0	0	0	3.44266666666668	4.5	3.82907509803772	912.9215145	907.3882885	911.3889496	913.4766993	917.3059546	906.8664661	919.8220258	"02"
1	46	13	1	0	1	5.5	0	5.62009763717651	929.8890492	920.3550263	928.3548399	930.2684243	935.8897248	919.8321344	938.4062439	"02"
1	47	34	0	1	0	5.65066666666665	9	7.2795398235321	944.472986	938.9389199	942.9397513	945.0763593	952.3567874	938.4154764	954.8731849	"02"
1	48	32	0	0	0	3.96639999999997	5	5.15393424034119	960.9395204	955.4060416	959.4075269	964.6362858	969.7905897	954.8833264	972.3059516	"02"
1	49	6	1	1	0	5.5	0	4.02975463867188	978.3740072	972.839851	976.8405555	980.0283667	984.0584101	972.314898	986.5740106	"02"
1	50	17	0	0	1	3.59200000000005	4	3.6202609539032	996.6405385	987.1069893	995.1078131	998.6045399	1002.2249165	986.5830628	1004.741104	"02"
1	51	23	1	1	1	5.5	0	7.1720290184021	1014.8077319	1005.274143	1013.2746336	1015.2206476	1022.3928817	1004.7509022	1024.9080341	"02"
1	52	2	0	1	0	5.38857142857152	7	5.33614039421082	1030.974831	1025.4413482	1029.4413639	1031.3885618	1036.7258785	1024.9171109	1039.2418351	"02"
1	53	20	1	0	0	5.5	0	3.92507815361023	1045.308583	1039.7750795	1043.7756521	1045.6683785	1049.5935346	1039.2512703	1052.1088305	"02"
1	54	11	0	1	1	5.51840000000002	7.5	5.897794008255	1062.175729	1052.6424208	1060.6432472	1062.8124225	1068.7110819	1052.117946	1071.2261676	"02"
1	55	8	0	0	0	4.03085714285722	3.5	3.69594979286194	1077.2928989	1071.7593087	1075.7591667	1077.7484691	1081.4438685	1071.2361044	1083.959207	"02"
1	56	29	1	0	1	5.5	0	5.58392357826233	1094.0267028	1084.4930247	1092.4934251	1094.4764639	1100.0608321	1083.9685042	1102.5771026	"02"
1	57	0	0	0	0	4.136	3	3.28530621528625	1108.6437901	1103.1108301	1107.1114651	1109.0924816	1112.3787847	1102.5865012	1114.8936571	"02"
1	58	22	1	1	0	5.5	0	4.49389672279358	1120.9608306	1115.4272607	1119.4277871	1121.6841639	1126.1787222	1114.9031664	1128.6937283	"02"
1	59	14	1	1	0	5.5	0	4.71222233772278	1134.7610994	1129.2276466	1133.2278566	1135.3162928	1140.0291179	1128.7026391	1142.544601	"02"
0	0	21	1	0	1	5.5	0	5.37521624565125	171.9952352	162.461604799999	170.462594100001	172.9202969	178.296476300002	161.931542000002	180.812200299999	"03"
0	1	2	0	1	0	6.47200000000013	7	6.66866660118103	186.8793898	181.345540800001	185.3455588	189.527635599999	196.196762700001	180.8240764	198.712207200002	"03"
0	2	34	0	1	0	5.97066666666664	9	7.77763843536377	204.7803054	199.245989400002	203.2465027	208.0874544	215.865416500001	198.722051100001	218.3801413	"03"
0	3	0	0	0	0	3.496	3	2.61462092399597	224.446995300001	218.913242400002	222.913008200001	226.1994944	228.8142549	218.389597500001	231.3306381	"03"
0	4	33	0	0	1	3.39039999999998	5	4.16438484191895	241.3975923	231.8635674	239.864189600001	242.383624400001	246.548640699999	231.340528600002	249.064825500001	"03"
0	5	29	1	0	1	5.5	0	6.17248487472534	259.131114300002	249.597965600002	257.598364199999	259.9596131	266.132516000001	249.0752932	268.648708700002	"03"
0	6	12	1	0	0	5.5	0	2.96097588539124	274.7151605	269.1812828	273.182085700002	280.255519800001	283.216761200001	268.6595686	285.730894200002	"03"
0	7	10	0	1	0	5.78720000000003	7.5	6.24088382720947	291.798674500002	286.265110100001	290.266584699999	295.191748900001	301.433005900002	285.740312000002	303.9490936	"03"
0	8	30	1	1	0	5.5	0	2.61971163749695	310.016365899999	304.482391900001	308.483593100002	311.879864300001	314.5002011	303.958389400002	317.017329800001	"03"
0	9	9	0	0	1	2.59085714285716	3.5	1.94198036193848	327.0829553	317.549352599999	325.549735700002	327.841032799999	329.783649699999	317.026859400001	332.299855600002	"03"
0	10	24	0	0	0	3.53866666666668	4.5	3.97478222846985	338.366646999999	332.833114500001	336.833331000002	339.1438179	343.118213500002	332.3089678	345.633123600001	"03"
0	11	20	1	0	0	5.5	0	3.63905763626099	351.700320899999	346.166848500001	350.167493299999	352.911813400002	356.551175799999	345.642872600001	359.067498799999	"03"
0	12	1	0	0	1	3.624	3	2.74810457229614	369.134689400002	359.600546900001	367.600737700002	370.119873899999	372.868366400002	359.0765737	375.383992700001	"03"
0	13	38	1	1	0	5.5	0	3.57203555107117	381.4511666	375.917707600001	379.918695700002	383.679687700002	387.252356200002	375.393153699999	389.767858800002	"03"
0	14	39	1	1	1	5.5	0	5.56048011779785	399.8356312	390.3014086	398.3015896	402.975716000001	408.536798100002	389.777522100001	411.051690200002	"03"
0	15	5	1	0	1	5.5	0	5.34816408157349	421.118922000001	411.585347700002	419.586046700002	421.871951200003	427.22005	411.061789700001	429.735912300002	"03"
0	16	32	0	0	0	3.36159999999998	5	4.11914443969727	435.802665200001	430.269221900002	434.2700086	438.5515939	442.671199700002	429.745270400002	445.185796500002	"03"
0	17	25	0	0	1	3.78400000000001	4.5	4.36405682563782	455.253845700001	445.719659300001	453.7205417	455.9916854	460.356068000001	445.195769500002	462.871335100001	"03"
0	18	31	1	1	1	5.5	0	4.93641591072083	472.937035900002	463.403739500001	471.405013700001	473.919560599999	478.856375400002	462.880850600002	481.370404900001	"03"
0	19	16	0	0	0	2.88400000000002	4	2.62482380867004	487.437463599999	481.903978900002	485.9047713	488.247433100001	490.872544000002	481.3804442	493.387120300002	"03"
0	20	37	1	0	1	5.5	0	6.46726226806641	516.755872500002	507.2216558	515.221745700001	518.255680099999	524.722689599999	506.688905800002	527.2387714	"03"
0	21	26	0	1	0	3.92517647058822	8.5	4.32438659667969	533.3054529	527.772508099999	531.7734518	534.631442500002	538.956715	527.2482709	541.4735593	"03"
0	22	28	1	0	0	5.5	0	4.03701567649841	547.5391791	542.0057117	546.006854700001	548.7194638	552.7569229	541.483294199999	555.2740533	"03"
0	23	18	0	1	0	5.12800000000008	8	5.74466276168823	561.339597099999	555.806072400002	559.806005400002	563.095809300001	568.8413597	555.284638600002	571.356930900001	"03"
0	24	15	1	1	1	5.5	0	6.15492391586304	581.423750599999	571.889878500002	579.890363800001	582.319357600001	588.474866299999	571.366443800001	590.990443000002	"03"
0	25	19	0	1	1	5.96800000000011	8	6.908851146698	601.057351700001	591.524149299999	599.5245044	601.583437000001	608.492538099999	591.000528600001	611.008010600002	"03"
0	26	8	0	0	0	3.38628571428577	3.5	2.91384243965149	617.074528100002	611.540963200001	615.541813399999	625.479373900002	628.392964999999	611.017811000002	630.9074368	"03"
0	27	17	0	0	1	3.64000000000005	4	3.68609690666199	640.975281200001	631.441544400001	639.442425600002	642.6077979	646.294529999999	630.917642200002	648.808410900001	"03"
0	28	36	1	0	0	5.5	0	3.79073619842529	654.875593600002	649.342064500001	653.343109000001	660.519391500002	664.311094299999	648.818007500002	666.8257447	"03"
0	29	13	1	0	1	5.5	0	3.01140451431274	676.8928376	667.359204	675.359618900002	679.632268400001	682.643915000001	666.836920100002	685.1593426	"03"
0	30	14	1	1	0	5.5	0	4.14282965660095	691.226582300002	685.693239799999	689.694733700002	692.135406000001	696.278414100001	685.168489	698.793440100002	"03"
0	31	22	1	1	0	5.5	0	5.44803237915039	704.860301799999	699.326838200002	703.3269788	705.663514600001	711.111963300002	698.804219900001	713.6272083	"03"
0	32	6	1	1	0	5.5	0	3.34149789810181	719.694023100001	714.160589700001	718.161006599999	723.1196112	726.461882700001	713.636509800002	728.977426199999	"03"
0	33	35	0	1	1	5.97066666666664	9	7.78606367111206	739.044598799999	729.5115625	737.5122529	739.5594103	747.345734000002	728.9879917	749.861488099999	"03"
